date,steps_per_epoch,epochs,callbacks,featurewise_center,samplewise_center,featurewise_std_normalization,samplewise_std_normalization,zca_whitening,zca_epsilon,rotation_range,width_shift_range,height_shift_range,shear_range,zoom_range,channel_shift_range,fill_mode,cval,horizontal_flip,vertical_flip,rescale,preprocessing_function,dtype,interpolation_order,data_format,channel_axis,row_axis,col_axis,_validation_split,mean,std,principal_components,brightness_range,batch_size,init_lr,decay,description,valid_incorrect,valid_with_mask,valid_without_mask,accuracy,macro avg,weighted avg,test_incorrect,test_with_mask,test_without_mask,class_weight,ratios
2021_05_16_18_49_06,250,5,[<__main__.MetricsCallback object at 0x7f672056d5d0>],False,False,False,False,False,1e-06,20,0.15,0.15,0.15,"[0.85, 1.15]",0.0,nearest,0.0,True,False,,<function preprocess at 0x7f672226f3b0>,float32,1,channels_last,3,1,2,0.0,,,,,32,0.0001,2e-05,"MobileNetV2, only head unfreezed, only real images, 5 epochs","{'precision': 0.9130434782608695, 'recall': 0.21649484536082475, 'f1-score': 0.35000000000000003, 'support': 97}","{'precision': 0.856418918918919, 'recall': 0.9657142857142857, 'f1-score': 0.9077887197851389, 'support': 525}","{'precision': 0.8, 'recall': 0.8421052631578947, 'f1-score': 0.8205128205128205, 'support': 133}",0.799405646359584,"{'precision': 0.8344426956958926, 'recall': 0.6016399422747309, 'f1-score': 0.6202828326334303, 'support': 673}","{'precision': 0.8162290767708734, 'recall': 0.799405646359584, 'f1-score': 0.758284015858177, 'support': 673}","{'precision': 0.9411764705882353, 'recall': 0.1553398058252427, 'f1-score': 0.26666666666666666, 'support': 103}","{'precision': 0.802536231884058, 'recall': 0.9800884955752213, 'f1-score': 0.8824701195219123, 'support': 452}","{'precision': 0.7596153846153846, 'recall': 0.6694915254237288, 'f1-score': 0.7117117117117118, 'support': 118}",,
2021_05_16_19_02_01,250,5,[<__main__.MetricsCallback object at 0x7f66cc9d1e50>],False,False,False,False,False,1e-06,20,0.15,0.15,0.15,"[0.85, 1.15]",0.0,nearest,0.0,True,False,,<function preprocess at 0x7f672226f3b0>,float32,1,channels_last,3,1,2,0.0,,,,,32,0.0001,2e-05,"MobileNetV2, layers unfreezed from 149, only real images, 5 epochs","{'precision': 1.0, 'recall': 0.12371134020618557, 'f1-score': 0.22018348623853212, 'support': 97}","{'precision': 0.8432956381260097, 'recall': 0.9942857142857143, 'f1-score': 0.9125874125874127, 'support': 525}","{'precision': 0.8548387096774194, 'recall': 0.7969924812030075, 'f1-score': 0.8249027237354085, 'support': 133}",0.7964338781575037,"{'precision': 0.8636333839873663, 'recall': 0.5826735362261013, 'f1-score': 0.5899491667761722, 'support': 673}","{'precision': 0.8255001726026986, 'recall': 0.7964338781575037, 'f1-score': 0.743971536912389, 'support': 673}","{'precision': 1.0, 'recall': 0.08737864077669903, 'f1-score': 0.16071428571428573, 'support': 103}","{'precision': 0.7929203539823009, 'recall': 0.9911504424778761, 'f1-score': 0.8810226155358898, 'support': 452}","{'precision': 0.797979797979798, 'recall': 0.6694915254237288, 'f1-score': 0.728110599078341, 'support': 118}",,
2021_05_16_19_10_19,250,5,[<__main__.MetricsCallback object at 0x7f66cd258b50>],False,False,False,False,False,1e-06,20,0.15,0.15,0.15,"[0.85, 1.15]",0.0,nearest,0.0,True,False,,<function preprocess at 0x7f672226f3b0>,float32,1,channels_last,3,1,2,0.0,,,,,32,0.0001,2e-05,"MobileNetV2, only head unfreezed, only real images, 5 epochs, weight balancing","{'precision': 0.6461538461538462, 'recall': 0.4329896907216495, 'f1-score': 0.5185185185185185, 'support': 97}","{'precision': 0.9116465863453815, 'recall': 0.8647619047619047, 'f1-score': 0.8875855327468231, 'support': 525}","{'precision': 0.640625, 'recall': 0.924812030075188, 'f1-score': 0.756923076923077, 'support': 133}",0.7845468053491828,"{'precision': 0.7333335345340993, 'recall': 0.7185035165717442, 'f1-score': 0.7002253132972087, 'support': 673}","{'precision': 0.8045123011816542, 'recall': 0.7845468053491828, 'f1-score': 0.7817611856128304, 'support': 673}","{'precision': 0.7457627118644068, 'recall': 0.42718446601941745, 'f1-score': 0.5432098765432098, 'support': 103}","{'precision': 0.8773148148148148, 'recall': 0.838495575221239, 'f1-score': 0.8574660633484164, 'support': 452}","{'precision': 0.5769230769230769, 'recall': 0.8898305084745762, 'f1-score': 0.6999999999999998, 'support': 118}","{0: 8.303125, 1: 0.4489692463670159, 2: 1.5331794575879978}",
2021_05_16_19_19_24,250,5,[<__main__.MetricsCallback object at 0x7f66cca558d0>],False,False,False,False,False,1e-06,20,0.15,0.15,0.15,"[0.85, 1.15]",0.0,nearest,0.0,True,False,,<function preprocess at 0x7f672226f3b0>,float32,1,channels_last,3,1,2,0.0,,,,,32,0.0001,2e-05,"MobileNetV2, layers unfreezed from 149, only real images, 5 epochs, weight balancing","{'precision': 0.8529411764705882, 'recall': 0.29896907216494845, 'f1-score': 0.44274809160305345, 'support': 97}","{'precision': 0.8894927536231884, 'recall': 0.9352380952380952, 'f1-score': 0.9117920148560816, 'support': 525}","{'precision': 0.7218934911242604, 'recall': 0.9172932330827067, 'f1-score': 0.8079470198675497, 'support': 133}",0.8008915304606241,"{'precision': 0.8051713435647168, 'recall': 0.699159459502753, 'f1-score': 0.6806299414895141, 'support': 673}","{'precision': 0.8305522884170405, 'recall': 0.8008915304606241, 'f1-score': 0.782065775010643, 'support': 673}","{'precision': 0.9333333333333333, 'recall': 0.27184466019417475, 'f1-score': 0.4210526315789473, 'support': 103}","{'precision': 0.8620689655172413, 'recall': 0.8849557522123894, 'f1-score': 0.8733624454148472, 'support': 452}","{'precision': 0.6201117318435754, 'recall': 0.940677966101695, 'f1-score': 0.7474747474747475, 'support': 118}","{0: 8.303125, 1: 0.4489692463670159, 2: 1.5331794575879978}",
2021_05_16_19_30_00,249,5,[<__main__.MetricsCallback object at 0x7f59d8b63f90>],False,False,False,False,False,1e-06,20,0.15,0.15,0.15,"[0.85, 1.15]",0.0,nearest,0.0,True,False,,<function preprocess at 0x7f59d8b77050>,float32,1,channels_last,3,1,2,0.0,,,,,32,0.0001,2e-05,"MobileNetV2, only head unfreezed, only real images, with oversampling, 5 epochs","{'precision': 0.7288135593220338, 'recall': 0.44329896907216493, 'f1-score': 0.5512820512820512, 'support': 97}","{'precision': 0.9089147286821705, 'recall': 0.8933333333333333, 'f1-score': 0.9010566762728145, 'support': 525}","{'precision': 0.6777777777777778, 'recall': 0.9172932330827067, 'f1-score': 0.7795527156549521, 'support': 133}",0.8098068350668648,"{'precision': 0.7663904467904215, 'recall': 0.7201920243793635, 'f1-score': 0.7177012396243955, 'support': 673}","{'precision': 0.8198961190636629, 'recall': 0.8098068350668648, 'f1-score': 0.802689625375812, 'support': 673}","{'precision': 0.7962962962962963, 'recall': 0.4174757281553398, 'f1-score': 0.5477707006369426, 'support': 103}","{'precision': 0.8755458515283843, 'recall': 0.8871681415929203, 'f1-score': 0.8813186813186814, 'support': 452}","{'precision': 0.6273291925465838, 'recall': 0.8559322033898306, 'f1-score': 0.7240143369175626, 'support': 118}",,"[0.33, 0.32, 0.33]"
2021_05_16_19_39_07,249,5,[<__main__.MetricsCallback object at 0x7f598c0e0f50>],False,False,False,False,False,1e-06,20,0.15,0.15,0.15,"[0.85, 1.15]",0.0,nearest,0.0,True,False,,<function preprocess at 0x7f59d8b77050>,float32,1,channels_last,3,1,2,0.0,,,,,32,0.0001,2e-05,"MobileNetV2, layers unfreezed from 149,only real images, with oversampling, 5 epochs","{'precision': 0.6438356164383562, 'recall': 0.4845360824742268, 'f1-score': 0.5529411764705883, 'support': 97}","{'precision': 0.9182879377431906, 'recall': 0.8990476190476191, 'f1-score': 0.9085659287776708, 'support': 525}","{'precision': 0.7321428571428571, 'recall': 0.924812030075188, 'f1-score': 0.8172757475083056, 'support': 133}",0.8261515601783059,"{'precision': 0.7689661992650656, 'recall': 0.7878939790874533, 'f1-score': 0.7680864392649127, 'support': 673}","{'precision': 0.8387489348673625, 'recall': 0.826151560178306, 'f1-score': 0.8268173331929668, 'support': 673}","{'precision': 0.7439024390243902, 'recall': 0.5922330097087378, 'f1-score': 0.6594594594594595, 'support': 103}","{'precision': 0.9084507042253521, 'recall': 0.8561946902654868, 'f1-score': 0.8815489749430524, 'support': 452}","{'precision': 0.6545454545454545, 'recall': 0.9152542372881356, 'f1-score': 0.7632508833922261, 'support': 118}",,"[0.33, 0.32, 0.33]"
2021_05_16_19_51_15,249,5,[<__main__.MetricsCallback object at 0x7ff1c6d1fb50>],False,False,False,False,False,1e-06,20,0.15,0.15,0.15,"[0.85, 1.15]",0.0,nearest,0.0,True,False,,<function preprocess at 0x7ff1c6d287a0>,float32,1,channels_last,3,1,2,0.0,,,,,32,0.0001,2e-05,"MobileNetV2, only head unfreezed, only real images, with oversampling, 5 epochs, with blur and resizing","{'precision': 0.5531914893617021, 'recall': 0.5360824742268041, 'f1-score': 0.5445026178010471, 'support': 97}","{'precision': 0.917864476386037, 'recall': 0.8514285714285714, 'f1-score': 0.883399209486166, 'support': 525}","{'precision': 0.7126436781609196, 'recall': 0.9323308270676691, 'f1-score': 0.8078175895765471, 'support': 133}",0.8008915304606241,"{'precision': 0.7270676219205631, 'recall': 0.757423779296472, 'f1-score': 0.7322572785009117, 'support': 673}","{'precision': 0.8185324261148053, 'recall': 0.8008915304606241, 'f1-score': 0.803810412568993, 'support': 673}","{'precision': 0.6666666666666666, 'recall': 0.5631067961165048, 'f1-score': 0.6105263157894736, 'support': 103}","{'precision': 0.9086538461538461, 'recall': 0.8362831858407079, 'f1-score': 0.8709677419354838, 'support': 452}","{'precision': 0.6058823529411764, 'recall': 0.8728813559322034, 'f1-score': 0.7152777777777778, 'support': 118}",,"[0.33, 0.32, 0.33]"
2021_05_16_20_02_30,249,5,[<__main__.MetricsCallback object at 0x7ff173643690>],False,False,False,False,False,1e-06,20,0.15,0.15,0.15,"[0.85, 1.15]",0.0,nearest,0.0,True,False,,<function preprocess at 0x7ff1c6d287a0>,float32,1,channels_last,3,1,2,0.0,,,,,32,0.0001,2e-05,"MobileNetV2, layers unfreezed from 149,only real images, with oversampling, 5 epochs, with blur and resizing","{'precision': 0.328125, 'recall': 0.865979381443299, 'f1-score': 0.4759206798866855, 'support': 97}","{'precision': 0.9649595687331537, 'recall': 0.6819047619047619, 'f1-score': 0.7991071428571429, 'support': 525}","{'precision': 0.8359375, 'recall': 0.8045112781954887, 'f1-score': 0.8199233716475097, 'support': 133}",0.736998514115899,"{'precision': 0.7073656028690273, 'recall': 0.7781263849428889, 'f1-score': 0.7077737198654028, 'support': 673}","{'precision': 0.835549020487764, 'recall': 0.736998514115899, 'f1-score': 0.760188128889237, 'support': 673}","{'precision': 0.3991031390134529, 'recall': 0.8640776699029126, 'f1-score': 0.5460122699386503, 'support': 103}","{'precision': 0.9518072289156626, 'recall': 0.6991150442477876, 'f1-score': 0.8061224489795918, 'support': 452}","{'precision': 0.7711864406779662, 'recall': 0.7711864406779662, 'f1-score': 0.7711864406779662, 'support': 118}",,"[0.33, 0.32, 0.33]"
2021_05_16_20_19_01,249,5,[<__main__.MetricsCallback object at 0x7f6be1258a90>],False,False,False,False,False,1e-06,20,0.15,0.15,0.15,"[0.85, 1.15]",0.0,nearest,0.0,True,False,,<function preprocess at 0x7f6be125a320>,float32,1,channels_last,3,1,2,0.0,,,,,32,0.0001,2e-05,"MobileNetV2, only head unfreezed, only real images, with oversampling, 5 epochs","{'precision': 0.7096774193548387, 'recall': 0.4536082474226804, 'f1-score': 0.5534591194968553, 'support': 97}","{'precision': 0.9132947976878613, 'recall': 0.9028571428571428, 'f1-score': 0.9080459770114941, 'support': 525}","{'precision': 0.7068965517241379, 'recall': 0.924812030075188, 'f1-score': 0.8013029315960912, 'support': 133}",0.8112927191679049,"{'precision': 0.7641880860824394, 'recall': 0.7334234016454517, 'f1-score': 0.729020166825045, 'support': 673}","{'precision': 0.8222608113029437, 'recall': 0.8112927191679049, 'f1-score': 0.8072830912790323, 'support': 673}","{'precision': 0.7868852459016393, 'recall': 0.46601941747572817, 'f1-score': 0.5853658536585367, 'support': 103}","{'precision': 0.8822222222222222, 'recall': 0.8783185840707964, 'f1-score': 0.8802660753880266, 'support': 452}","{'precision': 0.6234567901234568, 'recall': 0.8559322033898306, 'f1-score': 0.7214285714285714, 'support': 118}",,"[0.4, 0.29, 0.3]"
2021_05_16_20_30_20,249,5,[<__main__.MetricsCallback object at 0x7f6b8d6916d0>],False,False,False,False,False,1e-06,20,0.15,0.15,0.15,"[0.85, 1.15]",0.0,nearest,0.0,True,False,,<function preprocess at 0x7f6be125a320>,float32,1,channels_last,3,1,2,0.0,,,,,32,0.0001,2e-05,"MobileNetV2, layers unfreezed from 149,only real images, with oversampling, 5 epochs, with blur and resizing","{'precision': 0.47794117647058826, 'recall': 0.6701030927835051, 'f1-score': 0.5579399141630901, 'support': 97}","{'precision': 0.9085603112840467, 'recall': 0.8895238095238095, 'f1-score': 0.8989412897016362, 'support': 525}","{'precision': 0.9142857142857143, 'recall': 0.7218045112781954, 'f1-score': 0.8067226890756303, 'support': 133}",0.8365527488855871,"{'precision': 0.7904900064474533, 'recall': 0.7504246146915955, 'f1-score': 0.7642317311568325, 'support': 673}","{'precision': 0.8416924133689333, 'recall': 0.836552748885587, 'f1-score': 0.8357200343374833, 'support': 673}","{'precision': 0.6, 'recall': 0.6699029126213593, 'f1-score': 0.6330275229357798, 'support': 103}","{'precision': 0.8851063829787233, 'recall': 0.9203539823008849, 'f1-score': 0.9023861171366594, 'support': 452}","{'precision': 0.8863636363636364, 'recall': 0.6610169491525424, 'f1-score': 0.7572815533980584, 'support': 118}",,"[0.4, 0.29, 0.3]"
